,auc,precision,recall,f1,ks_statistic
lightgbm,0.6824209173507733,0.5112419700214133,0.030506308896342437,0.05757694510595967,0.26353255743716597
xgboost,0.6814054453943831,0.3018359624398524,0.6191662673694298,0.4058332111974205,0.2613192575954509
catboost,0.6831218568721968,0.3031997126661149,0.6202204120747484,0.4072916448155063,0.2636722277951465
